Team,Season,GP,W,L,T,OT,P,P%,RW,ROW,S/O Win,GF,GA,GF/GP,GA/GP,PP%,PK%,Net PP%,Net PK%,Shots/GP,SA/GP,FOW%
Boston Bruins,20222023,81,64,12,--,5,133,0.821,53,60,4,296,170,3.65,2.1,22.7,87.1,20.2,90,33.1,29.8,54.5
Carolina Hurricanes,20222023,81,51,21,--,9,111,0.685,38,47,4,256,206,3.16,2.54,20.1,84.3,17.7,88.6,34.8,25.9,53
New Jersey Devils,20222023,81,51,22,--,8,110,0.679,39,49,2,284,218,3.51,2.69,21.6,82.5,18,86.5,34.4,28.2,51.3
Vegas Golden Knights,20222023,81,50,22,--,9,109,0.673,37,45,5,264,224,3.26,2.77,20.5,77,18.5,81.7,31.7,30.9,52.2
Toronto Maple Leafs,20222023,81,49,21,--,11,109,0.673,41,48,1,275,218,3.4,2.69,26.1,82.1,22.9,85.4,32.2,29.6,53
Edmonton Oilers,20222023,81,49,23,--,9,107,0.66,44,49,0,320,254,3.95,3.14,32.4,77,29.8,83.2,33.6,31.4,50.8
New York Rangers,20222023,81,47,21,--,13,107,0.66,37,43,4,271,213,3.35,2.63,23.9,81.1,21.8,84.7,31.6,29.4,49.2
Dallas Stars,20222023,81,46,21,--,14,106,0.654,38,42,4,280,215,3.46,2.65,25.2,83.3,23.2,87.5,31.9,30,54.6
Colorado Avalanche,20222023,80,49,24,--,7,105,0.656,34,43,6,266,218,3.33,2.73,24.8,79,23.2,81.5,33.4,31.2,46.7
Los Angeles Kings,20222023,81,46,25,--,10,102,0.63,36,40,6,269,251,3.32,3.1,25.3,75.7,21.8,78.3,32.4,28,53.2
Minnesota Wild,20222023,81,46,25,--,10,102,0.63,34,39,7,236,215,2.91,2.65,21.5,81.8,20.7,87.4,31,31.1,47.6
Seattle Kraken,20222023,81,46,27,--,8,100,0.617,37,46,0,288,249,3.56,3.07,20.1,76.5,16.7,79.1,30.4,27.1,45.3
Tampa Bay Lightning,20222023,81,45,30,--,6,96,0.593,37,42,3,275,252,3.4,3.11,25.2,79.5,21.2,82.2,32,31.5,51.5
Winnipeg Jets,20222023,81,46,32,--,3,95,0.586,36,45,1,244,220,3.01,2.72,19.5,82.6,17.2,85.2,30.4,30.4,49
New York Islanders,20222023,82,42,31,--,9,93,0.567,36,41,1,242,217,2.95,2.65,15.8,82.2,12.6,84.9,30.8,31,51.7
Calgary Flames,20222023,82,38,27,--,17,93,0.567,31,36,2,258,247,3.15,3.01,19.8,82.6,17.5,85.6,36,27.3,50.4
Florida Panthers,20222023,81,42,31,--,8,92,0.568,36,40,2,284,266,3.51,3.28,23,75.6,19.7,77.7,36.9,31.7,48.8
Nashville Predators,20222023,80,41,31,--,8,90,0.563,29,35,6,216,229,2.7,2.86,17.6,82.2,15.1,84.1,29.6,33.4,52.2
Pittsburgh Penguins,20222023,81,40,31,--,10,90,0.556,31,39,1,259,260,3.2,3.21,21.2,79.2,19.4,81.1,34.3,32.8,52.1
Buffalo Sabres,20222023,80,40,33,--,7,87,0.544,29,37,3,284,292,3.55,3.65,23.5,73,20.8,77,32.4,33.1,45.1
Ottawa Senators,20222023,81,39,35,--,7,85,0.525,31,37,2,256,266,3.16,3.28,23.4,80.1,19.8,83.2,33.5,31.3,51.3
St. Louis Blues,20222023,81,37,37,--,7,81,0.5,27,34,3,260,297,3.21,3.67,19.5,72.1,13.6,75.4,28.6,32.3,48.7
Vancouver Canucks,20222023,81,37,37,--,7,81,0.5,24,31,6,265,292,3.27,3.6,22.3,71.3,17.1,77.5,29.8,30.9,49.5
Detroit Red Wings,20222023,81,35,36,--,10,80,0.494,28,32,3,237,270,2.93,3.33,21.3,78.5,16.8,80.6,28.1,30.4,49.3
Washington Capitals,20222023,81,35,37,--,9,79,0.488,27,33,2,249,256,3.07,3.16,21.3,82.1,18,83.9,31.1,31,49.6
Philadelphia Flyers,20222023,81,30,38,--,13,73,0.451,26,28,2,215,272,2.65,3.36,15.2,75,11.2,79.7,29.4,31.4,45.8
Arizona Coyotes,20222023,81,28,40,--,13,69,0.426,20,25,3,221,290,2.73,3.58,19.2,74.9,16.6,76.5,25.8,35.2,45.9
Montréal Canadiens,20222023,81,31,44,--,6,68,0.42,21,26,5,223,300,2.75,3.7,16.3,72.1,15,74.7,27.2,33.7,48.5
San Jose Sharks,20222023,81,22,43,--,16,60,0.37,16,21,1,231,310,2.85,3.83,18.3,82.6,12.8,84.2,29.5,32.1,51.1
Chicago Blackhawks,20222023,81,26,49,--,6,58,0.358,18,24,2,198,294,2.44,3.63,16,76.5,11.7,79.6,26.8,33.6,52.6
Anaheim Ducks,20222023,81,23,46,--,12,58,0.358,13,20,3,203,330,2.51,4.07,15.9,72.1,12.8,72.4,28.4,39.1,46.8
Columbus Blue Jackets,20222023,80,24,47,--,9,57,0.356,15,23,1,208,322,2.6,4.03,18.3,75.6,14.2,77.8,29.2,35.4,48.7
